date,volume,chlorine,cholera,chol_highcov,chol_lowcov,rain
15/07/2009,4492,0.4,0,0,0,2.781
16/07/2009,3210,0.3,1,0,1,0
17/07/2009,3922,0.3,1,0,1,0
18/07/2009,4699,0.4,1,1,0,4.864
19/07/2009,3021,0.4,0,0,0,0
20/07/2009,4123,0.3,1,1,0,4.032
21/07/2009,4352,0.2,0,0,0,0
22/07/2009,4363,0.5,1,0,1,0
23/07/2009,4162,0.3,0,0,0,2.036
24/07/2009,3043,0.3,1,1,0,0
25/07/2009,4180,0.5,0,0,0,0
26/07/2009,3065,0.5,0,0,0,0
27/07/2009,3912,0.2,3,2,1,0
28/07/2009,1923,0.4,0,0,0,0
29/07/2009,3075,0.3,0,0,0,0
30/07/2009,2499,0.3,1,0,1,0
31/07/2009,3102,0.3,0,0,0,1.935
01/08/2009,3408,0.4,2,0,2,0
02/08/2009,4833,0.4,1,0,1,0
03/08/2009,3660,0.3,0,0,0,0
04/08/2009,3499,0.46,1,0,1,0
05/08/2009,3179,0.46,1,0,1,0
06/08/2009,4005,0.3,2,1,1,0
07/08/2009,3649,0.3,0,0,0,0
08/08/2009,3399,0.36,2,1,1,0.499
09/08/2009,2714,0.42,1,1,0,0
10/08/2009,3277,0.2,0,0,0,0
11/08/2009,3113,0.3,0,0,0,0.467
12/08/2009,3014,0.3,1,1,0,0.174
13/08/2009,2662,0.3,3,2,1,3.141
14/08/2009,4138,0.6,2,2,0,0
15/08/2009,2978,0.3,1,1,0,0.241
16/08/2009,4364,0.3,3,3,0,0.425
17/08/2009,4758,0.5,1,1,0,0
18/08/2009,3741,0.5,3,0,3,0
19/08/2009,4389,0.5,6,5,1,0.467
20/08/2009,4372,0.5,3,2,1,1.558
21/08/2009,3902,0.4,6,2,4,0.804
22/08/2009,3695,0.3,7,3,4,0
23/08/2009,3983,0.5,2,0,2,0
24/08/2009,3604,0.4,2,1,1,0.499
25/08/2009,3441,0.3,4,2,2,0
26/08/2009,4000,0.2,7,4,3,0
27/08/2009,3381,0.4,7,3,4,0.467
28/08/2009,3810,0.46,4,1,3,0
29/08/2009,3629,0.5,2,1,1,0.489
30/08/2009,3662,0.3,14,8,6,0
31/08/2009,3710,0.4,9,8,1,0
01/09/2009,4177,0.3,20,12,8,0.916
02/09/2009,2587,0.4,23,17,6,0
03/09/2009,2605,0.3,25,17,8,0
04/09/2009,2144,0.2,32,17,15,0.97
05/09/2009,2289,0.3,12,9,3,0
06/09/2009,2135,0.5,11,5,6,0
07/09/2009,2061,0.4,9,5,4,0.039
08/09/2009,2872,0.1,10,5,5,0
09/09/2009,2733,0.3,7,5,2,0.796
10/09/2009,2125,0.5,20,9,11,0
11/09/2009,2502,0.4,12,6,6,0
12/09/2009,3164,0.3,10,4,6,0.667
13/09/2009,2039,0.5,7,4,3,0.918
14/09/2009,3719,0.5,11,9,2,0.388
15/09/2009,2868,0.4,6,3,3,0
16/09/2009,4120,0.4,4,3,1,0.353
17/09/2009,3532,0.5,8,4,4,0.45
18/09/2009,2269,0.5,8,5,3,0.715
19/09/2009,3279,0.3,8,7,1,0.248
20/09/2009,3473,0.2,3,2,1,2.063
21/09/2009,3681,0.2,2,2,0,0
22/09/2009,2831,0.4,5,1,4,0.212
23/09/2009,2963,0.7,3,2,1,1.24
24/09/2009,3316,0.7,1,1,0,0
25/09/2009,2957,0.9,6,5,1,0
26/09/2009,3398,0.5,5,2,3,0
27/09/2009,3547,0.8,8,4,4,1.02
28/09/2009,3896,1,7,5,2,0
29/09/2009,2384,0.6,4,0,4,2.004
30/09/2009,3100,0.3,3,1,2,0
01/10/2009,2986,0.4,4,3,1,0
02/10/2009,2663,0.64,6,5,1,0
03/10/2009,2548,0.43,8,6,2,2.351
04/10/2009,3003,0.63,11,9,2,0.722
05/10/2009,3281,0.6,8,5,3,1.814
06/10/2009,1679,0.5,2,2,0,0.311
07/10/2009,3717,0.52,1,1,0,0
08/10/2009,3168,0.54,6,3,3,0
09/10/2009,2935,0.54,5,4,1,11.275
10/10/2009,3747,0.34,2,2,0,0.018
11/10/2009,3292,0.4,4,2,2,1.048
12/10/2009,3261,0.3,3,2,1,0
13/10/2009,3540,0.4,1,1,0,0.188
14/10/2009,2898,0.5,1,1,0,0
15/10/2009,2142,0.4,5,5,0,1.693
16/10/2009,2640,0.6,1,0,1,0
17/10/2009,1862,0.8,5,4,1,0
18/10/2009,2729,0.5,8,3,5,3.834
19/10/2009,2806,0.5,0,0,0,12.955
20/10/2009,2253,0.6,6,5,1,0.284
21/10/2009,3086,0.5,6,3,3,0
22/10/2009,3392,0.3,3,2,1,0
23/10/2009,2446,0.6,4,2,2,2.132
24/10/2009,1985,0.6,6,2,4,2.591
25/10/2009,3386,,4,3,1,0.245
26/10/2009,2832,,6,1,5,0
27/10/2009,3365,,8,7,1,1.048
28/10/2009,3570,0.37,4,2,2,0
29/10/2009,2732,0.6,6,3,3,0.15
30/10/2009,2521,0.6,5,3,2,7.603
31/10/2009,2721,0.3,3,0,3,5.021
01/11/2009,3872,0.3,4,1,3,0
02/11/2009,2937,0.3,4,3,1,0
03/11/2009,3532,0.5,4,1,3,0.702
04/11/2009,2618,0.4,4,2,2,0
05/11/2009,3341,0.4,5,2,3,0.583
06/11/2009,3489,0.5,6,4,2,1.683
07/11/2009,3048,0.6,5,4,1,0.224
08/11/2009,2636,0.4,8,4,4,13.387
09/11/2009,2061,0.5,4,1,3,0
10/11/2009,2849,0.4,2,1,1,15.211
11/11/2009,2423,0.5,3,3,0,14.326
12/11/2009,2157,0.4,5,2,3,3.199
13/11/2009,1661,0.5,4,1,3,3.812
14/11/2009,2734,0.6,3,2,1,2.835
15/11/2009,1830,0.6,3,3,0,0.465
16/11/2009,2193,0.5,2,1,1,14.447
17/11/2009,3381,0.6,3,2,1,0
18/11/2009,2127,0.4,3,2,1,1.458
19/11/2009,2340,0.3,1,1,0,0.768
20/11/2009,3124,0.6,6,2,4,10.386
21/11/2009,2771,0.8,10,0,10,0.868
22/11/2009,2845,0.4,0,0,0,0
23/11/2009,0,0,1,0,1,0
24/11/2009,3260,0.5,1,1,0,0.849
25/11/2009,2053,0.6,1,1,0,3.638
26/11/2009,2395,0.5,2,1,1,4.45
27/11/2009,3772,,4,3,1,0.243
28/11/2009,3480,,1,1,0,0.302
29/11/2009,1153,,4,2,2,1.858
30/11/2009,2787,,2,2,0,0.575
01/12/2009,3739,,2,1,1,0.977
02/12/2009,2741,,2,0,2,1.032
03/12/2009,0,0,1,1,0,2.483
04/12/2009,1181,,5,2,3,6.709
05/12/2009,2549,,2,1,1,0
06/12/2009,4488,,4,4,0,1.798
07/12/2009,2729,,1,1,0,0
08/12/2009,3807,,4,2,2,1.1
09/12/2009,2533,,3,2,1,1.246
10/12/2009,4290,,2,0,2,9.752
11/12/2009,1272,,2,1,1,7.448
12/12/2009,3389,,2,2,0,0
13/12/2009,3777,,3,0,3,0.23
14/12/2009,3435,0.3,2,1,1,0.05
15/12/2009,3013,0.4,1,1,0,2.701
16/12/2009,1983,0.5,0,0,0,2.852
17/12/2009,2198,0.6,2,1,1,0
18/12/2009,3117,0.3,3,2,1,0.043
19/12/2009,3208,0.8,3,2,1,0.083
20/12/2009,3543,0.6,2,0,2,0
21/12/2009,3256,0.4,0,0,0,0
22/12/2009,3641,0.5,2,2,0,0.811
23/12/2009,2474,0.6,2,0,2,8.216
24/12/2009,3810,0.5,2,2,0,6.646
25/12/2009,4115,0.4,2,2,0,4.017
26/12/2009,3507,0.4,3,1,2,2.761
27/12/2009,2569,0.7,1,0,1,2.469
28/12/2009,2734,0.4,1,0,1,9.673
29/12/2009,2620,0.4,0,0,0,1.046
30/12/2009,3260,0.5,0,0,0,0
31/12/2009,,0.5,0,0,0,0
01/01/2010,2095,0.67,0,0,0,36.068
02/01/2010,3210,0.32,2,2,0,2.456
03/01/2010,3330,0.3,3,1,2,2.646
04/01/2010,3924,0.7,4,2,2,8.399
05/01/2010,2002,1,2,1,1,0.756
06/01/2010,3263,0.6,1,0,1,8.593
07/01/2010,2352,0.6,3,3,0,8.395
08/01/2010,2295,0.7,0,0,0,7.166
09/01/2010,4229,0.6,4,2,2,6.393
10/01/2010,2734,0.94,2,0,2,0.121
11/01/2010,3453,0.6,2,1,1,0.842
12/01/2010,3189,0.5,4,3,1,0
13/01/2010,2295,0.65,3,1,2,8.491
14/01/2010,2660,0.82,3,3,0,3.71
15/01/2010,1931,0.75,1,0,1,5.835
16/01/2010,961,0.6,2,1,1,0
17/01/2010,0,0,3,3,0,0.249
18/01/2010,1397,0.5,3,1,2,0.476
19/01/2010,1554,0.56,3,1,2,0
20/01/2010,3220,0.6,4,2,2,0
21/01/2010,3715,0.5,3,1,2,0
22/01/2010,1877,0.76,2,2,0,22.96
23/01/2010,1606,,5,2,3,1.85
24/01/2010,3142,0.8,2,2,0,0.111
25/01/2010,3357,0.9,3,2,1,0.472
26/01/2010,3246,1.1,4,2,2,0
27/01/2010,2599,0.8,3,2,1,0
28/01/2010,3300,0.7,5,2,3,0
29/01/2010,2735,0.6,1,1,0,0
30/01/2010,3970,0.57,3,2,1,0
31/01/2010,3623,0.6,2,1,1,4.002
01/02/2010,3735,0.9,2,1,1,0
02/02/2010,3098,0.4,6,2,4,0
03/02/2010,3429,0.3,1,1,0,19.048
04/02/2010,4378,0.56,4,2,2,8.618
05/02/2010,3520,0.1,5,1,4,1.377
06/02/2010,4479,0.6,1,0,1,0.436
07/02/2010,2954,0.68,3,0,3,11.894
08/02/2010,4646,0.5,3,1,2,1.012
09/02/2010,3939,0.5,4,3,1,4.754
10/02/2010,4231,0.6,2,1,1,0
11/02/2010,4318,0.4,4,1,3,0
12/02/2010,4830,0.5,2,2,0,0
13/02/2010,3648,1,4,2,2,0
14/02/2010,3972,0.63,4,2,2,2.221
15/02/2010,2459,0.75,4,1,3,70.716
16/02/2010,3098,0.57,4,2,2,24.434
17/02/2010,2139,0.6,1,0,1,1.992
18/02/2010,1642,0.5,2,1,1,0.116
19/02/2010,1527,0.7,3,1,2,9.501
20/02/2010,3680,0.6,4,2,2,1.707
21/02/2010,4385,0.7,4,3,1,0
22/02/2010,3376,0.78,4,2,2,0.86
23/02/2010,4446,0.58,7,3,4,2.343
24/02/2010,3293,0.64,2,2,0,16.293
25/02/2010,4193,1.7,4,1,3,9.843
26/02/2010,2692,0.67,5,4,1,8.456
27/02/2010,3534,0.7,5,2,3,0.064
28/02/2010,4840,0.8,5,1,4,5.323
01/03/2010,3028,1.4,6,5,1,26.568
02/03/2010,2478,0.7,3,2,1,3.811
03/03/2010,4094,0.77,2,1,1,2.135
04/03/2010,3035,0.64,6,4,2,0.403
05/03/2010,3710,0.7,3,1,2,0
06/03/2010,3648,0.7,4,2,2,0.59
07/03/2010,2947,0.85,3,1,2,0
08/03/2010,2545,0.63,5,2,3,0.52
09/03/2010,3916,0.8,2,1,1,0
10/03/2010,4546,0.41,3,3,0,3.603
11/03/2010,4218,0.4,8,5,3,1.004
12/03/2010,3650,0.6,5,3,2,6.783
13/03/2010,2659,0.6,4,2,2,3.164
14/03/2010,4900,0.66,2,1,1,0.319
15/03/2010,3451,0.7,3,2,1,12.877
16/03/2010,4160,0.6,4,1,3,0
17/03/2010,4329,0.8,1,1,0,0
18/03/2010,3856,0.7,4,2,2,1.849
19/03/2010,2434,0.7,2,2,0,19.025
20/03/2010,3891,0.6,3,2,1,2.447
21/03/2010,4333,0.7,4,2,2,0
22/03/2010,3897,0.7,4,4,0,0.236
23/03/2010,4647,0.6,3,2,1,7.279
24/03/2010,4420,0.9,2,1,1,3.125
25/03/2010,4017,0.9,3,2,1,0
26/03/2010,4636,0.73,4,1,3,1.167
27/03/2010,3634,0.7,1,1,0,26.765
